"odoo_id","erp_id","Descripción","Tipo de impuesto"
222,1,"4% IVA (serveis corrents)","Compres"
171,5,"IVA 21% (béns)","Vendes"
301,71,"Retencions IRPF 1%","Compres"
313,72,"Retencions IRPF 2%","Compres"
276,73,"Retencions IRPF 7%","Compres"
302,74,"Retencions IRPF 15%","Compres"
273,75,"Retencions IRPF 18%","Compres"
312,77,"Retencions IRPF 21%","Compres"
174,88,"21% IVA (béns corrents)","Compres"
174,89,"21% IVA (béns d'inversió)","Compres"
244,98,"IVA 10% (béns)","Vendes"
171,99,"IVA 21% (Vendes)","Ventas"
240,100,"0,50% Recàrrec equivalència vendes","Vendes"
261,101,"1,4% Recàrrec equivalència vendes","Vendes"
262,103,"5,2% Recàrrec equivalència vendes","Vendes"
291,104,"0,5% Recàrrec equivalència compres","Compres"
293,105,"1% Recàrrec equivalència compres","Compres"
288,106,"1,4% Recàrrec equivalència compres","Compres"
277,121,"Retencions IRPF 9%","Compres"
310,122,"Retencions IRPF 20%","Compres"
244,125,"10% IVA Soportado (operaciones corrientes)","Compra"
242,126,"1% Recàrrec equivalència vendes","Vendes"
5075,134,"IGIC 7%","Vendes"
5046,137,"IGIC 0% (Exportaciones)","Vendes"
5046,144,"IGIC 0%","Vendes"
5063,146,"IGIC 3%","Vendes"
5069,147,"IGIC 5%","Vendes"
5081,149,"IGIC 9,5%","Vendes"
174,185,"21% IVA suportat (serveis corrents)","Compres"
171,186,"IVA 21% (Bienes)","Ventas"
5076,291,"IGIC 7% (Bienes corrientes)","Compres"
5065,292,"IGIC 3% (Bienes de inversión)","Compres"
5070,293,"IGIC 5% (Bienes corrients)","Compres"
5070,294,"IGIC 5% (Bienes de inversión)","Compres"
5076,295,"IGIC 7% (Bienes de inversión)","Compres"
5082,297,"IGIC 9,5% (Bienes corrients)","Compres"
5082,299,"IGIC 9,5% (Bienes de inversión)","Compres"
5088,346,"IGIC Exento Soportado","Compres"
5087,348,"IGIC Exento Repercutido","Vendes"
271,349,"Retencions IRPF 19%","Compres"
257,362,"IVA 5% (béns)","Vendes"
